year,president,party
1789,Washington,None
1793,Washington,None
1797,Adams,Federalist
1801,Jefferson,Democrat-Republican
1805,Jefferson,Democrat-Republican
1809,Madison,Democrat-Republican
1813,Madison,Democrat-Republican
1817,Monroe,Democrat-Republican
1821,Monroe,Democrat-Republican
1825,Adams,Democrat-Republican
1829,Jackson,Democrat
1833,Jackson,Democrat
1837,VanBuren,Democrat
1841,Harrison,Whig
1845,Polk,Democrat
1849,Taylor,Whig
1853,Pierce,Democrat
1857,Buchanan,Democrat
1861,Lincoln,Republican
1865,Lincoln,Republican
1869,Grant,Republican
1873,Grant,Republican
1877,Hayes,Republican
1881,Garfield,Republican
1885,Cleveland,Democrat
1889,Harrison,Republican
1893,Cleveland,Democrat
1897,McKinley,Republican
1901,McKinley,Republican
1905,Roosevelt,Republican
1909,Taft,Republican
1913,Wilson,Democrat
1917,Wilson,Democrat
1921,Harding,Republican
1925,Coolidge,Republican
1929,Hoover,Republican
1933,Roosevelt,Democrat
1937,Roosevelt,Democrat
1941,Roosevelt,Democrat
1945,Roosevelt,Democrat
1949,Truman,Democrat
1953,Eisenhower,Republican
1957,Eisenhower,Republican
1961,Kennedy,Democrat
1965,Johnson,Democrat
1969,Nixon,Democrat
1973,Nixon,Republican
1977,Carter,Democrat
1981,Reagan,Republican
1985,Reagan,Republican
1989,Bush,Republican
1993,Clinton,Democrat
1997,Clinton,Democrat
2001,Bush,Republican
2005,Bush,Republican
2009,Obama,Democrat
2013,Obama,Democrat
2017,Trump,Republican
2021,Biden,Democrat
